height,weight,years,country
70.0,173.0,34.1207191314,ESP
,,46.5124999533,PHL
71.0,198.0,48.4960615972,SCT
72.0,154.0,43.2741437889,IRL
70.0,175.0,34.5289383095,CAN
79.0,195.0,31.3700341999,USA
71.0,175.0,39.1234588574,USA
,,,
69.0,150.0,28.1070205013,KOR
,,23.6029109122,KOR
71.0,185.0,40.1398972136,SCT
72.0,170.0,26.9234588575,KOR
70.0,174.0,29.8111300903,KOR
75.0,200.0,39.8220889944,KOR
73.0,174.0,31.0412670766,KOR
,,,USA
70.0,,25.8385273506,KOR
68.0,165.0,30.0248287205,BRA
69.0,170.0,30.1481163917,USA
73.0,154.0,,CAN
,,,USA
,,23.7015410492,KOR
,,,USA
,,,USA
72.0,170.0,,CAN
74.0,215.0,,USA
74.0,200.0,33.676883515,AUS
,,33.0686643369,USA
71.0,172.0,32.6220889945,CHL
69.0,170.0,45.0412670766,USA
70.0,150.0,31.4330478986,MYS
75.0,183.0,37.1426369397,USA
,,43.4275684465,CAN
69.0,160.0,48.8193492684,FRA
70.0,155.0,33.0330478986,USA
72.0,190.0,26.9015410493,FRA
,,,USA
76.0,210.0,,USA
,,,
,,27.3946917342,ENG
74.0,,,ENG
72.0,165.0,22.2988013232,CHN
68.0,160.0,38.9070205013,CHN
73.0,185.0,47.9261985835,USA
72.0,193.0,,USA
70.0,,,USA
74.0,170.0,32.6303081726,USA
68.0,175.0,29.9316780356,SWE
71.0,165.0,28.9508561178,USA
74.0,180.0,32.4494862547,USA
,,,
,,,USA
,,,USA
76.0,215.0,39.6193492684,USA
,,,USA
,,,USA
72.0,215.0,49.9590752958,AUS
73.0,,28.7289383095,USA
,,29.8988013232,USA
73.0,175.0,28.5919520082,USA
70.0,,25.276883515,USA
77.0,190.0,,USA
75.0,175.0,,USA
,,,USA
76.0,210.0,29.4248287205,USA
,,,
74.0,,,
,,,USA
,,,IRL
74.0,230.0,,USA
,,,USA
72.0,,30.2357876246,IRL
,,,USA
69.0,155.0,,USA
,,20.874143789,AUS
70.0,155.0,31.468664337,NLD
72.0,176.0,,ESP
73.0,220.0,41.6138698164,USA
76.0,220.0,32.172773926,AUS
74.0,235.0,35.8522259808,AUS
72.0,187.0,,GBR
75.0,168.0,43.6933218712,ENG
74.0,,,USA
71.0,170.0,42.7535958438,USA
,,,
74.0,190.0,34.7782533781,USA
69.0,155.0,,USA
,,29.2138698164,DNK
72.0,180.0,,FRA
69.0,165.0,,USA
72.0,,22.9700342,USA
,,,USA
71.0,175.0,35.1152396794,USA
70.0,150.0,,USA
72.0,165.0,37.7590752959,USA
,,,USA
71.0,198.0,49.668664337,SGP
73.0,,24.1837328301,ITA
76.0,195.0,36.7234588575,USA
,,,USA
72.0,180.0,37.3015410493,USA
,,,USA
73.0,150.0,,THA
73.0,,,USA
,,,USA
68.0,160.0,,USA
72.0,,30.068664337,USA
71.0,175.0,29.8357876247,USA
74.0,170.0,45.0768835151,USA
72.0,195.0,43.5453766658,USA
70.0,180.0,46.2933218712,JPN
67.0,185.0,47.8001711863,JPN
,,,USA
72.0,168.0,43.3508561178,USA
68.0,150.0,33.9344177616,JPN
71.0,170.0,25.3316780356,JPN
72.0,185.0,37.6385273507,USA
70.0,180.0,37.567294474,USA
73.0,185.0,49.7124999534,USA
73.0,190.0,30.6166095425,USA
67.0,155.0,48.7344177617,USA
69.0,195.0,,USA
,,20.4905821452,ITA
,,,USA
70.0,190.0,,USA
,,,
70.0,170.0,,USA
,,,USA
,,,USA
72.0,195.0,44.7837328302,USA
73.0,185.0,,USA
,,,USA
,,,USA
70.0,155.0,26.2330478986,USA
73.0,220.0,,USA
,,,USA
,,,USA
71.0,135.0,23.3837328302,USA
,,,USA
71.0,168.0,37.9152396795,NIR
74.0,,,USA
67.0,161.0,,IRL
68.0,200.0,38.0220889945,USA
73.0,200.0,,USA
68.0,160.0,46.2166095425,IRL
70.0,160.0,28.1453766658,NIR
74.0,,,USA
73.0,175.0,40.1398972137,SCT
73.0,165.0,38.1371574877,USA
72.0,165.0,43.4412670767,ZWE
,,,
71.0,,36.2385273507,SCT
,,,USA
72.0,173.0,36.9289383096,USA
,,,USA
73.0,,,USA
72.0,170.0,41.7426369398,USA
70.0,170.0,36.0248287206,CAN
71.0,155.0,49.1152396795,USA
73.0,190.0,,USA
75.0,209.0,32.9344177617,THA
74.0,200.0,32.1015410494,USA
73.0,170.0,35.2741437891,USA
72.0,160.0,31.6714040631,USA
71.0,170.0,,USA
72.0,185.0,48.4851026932,USA
75.0,200.0,47.0412670768,USA
76.0,220.0,27.4056506384,USA
69.0,155.0,27.8138698165,USA
,,,
,160.0,,USA
,,,USA
,,,SCT
74.0,210.0,32.9782533781,USA
75.0,220.0,27.1563355699,USA
70.0,183.0,39.3152396795,CAN
,,,USA
73.0,180.0,24.9837328302,USA
73.0,,46.2412670768,USA
71.0,,,JPN
71.0,160.0,37.0248287206,JPN
72.0,165.0,,USA
72.0,180.0,38.4193492685,USA
71.0,163.0,36.3755136521,ITA
72.0,159.0,34.6357876247,ITA
,,,USA
73.0,210.0,,SCT
73.0,185.0,27.4549657069,USA
,,32.1946917343,USA
71.0,160.0,47.1755136521,USA
69.0,170.0,34.561815022,USA
,,,USA
,,,PRI
,,,
,,,USA
69.0,170.0,,USA
69.0,160.0,48.063184885,USA
,,,
71.0,178.0,32.4220889946,ENG
70.0,180.0,,USA
,,,USA
70.0,,48.7809931042,USA
,,,USA
,,,USA
74.0,210.0,,USA
73.0,200.0,38.8933218713,ZAF
,,,USA
67.0,161.0,22.3015410494,AUS
73.0,,23.7316780357,USA
,,,USA
68.0,170.0,39.3042807754,JPN
,,,USA
,,,USA
71.0,167.0,33.7837328302,KOR
71.0,175.0,34.4933218713,USA
76.0,197.0,28.764554748,USA
77.0,,,USA
,,,USA
,,21.4385273508,SCT
,,,USA
70.0,185.0,38.4905821453,USA
,,,USA
,,27.1864725563,USA
,,,
,,,USA
76.0,185.0,23.8905821453,USA
,,,USA
,,,
,,,USA
,,28.6357876248,AUS
73.0,180.0,34.6796232412,AUS
72.0,200.0,,NZL
73.0,165.0,26.0768835152,KOR
71.0,169.0,34.961815022,SWE
76.0,210.0,30.257705433,SWE
,,35.0823629672,USA
,,,USA
,,,USA
,,,USA
,,,USA
74.0,165.0,34.964554748,USA
72.0,165.0,45.7015410494,AUS
72.0,195.0,,USA
72.0,170.0,43.9070205015,USA
72.0,185.0,42.4056506385,USA
70.0,170.0,,USA
,,,USA
,,,JPN
71.0,200.0,40.5453766659,JPN
70.0,165.0,43.2275684467,USA
74.0,180.0,40.0494862549,AUS
72.0,220.0,,USA
71.0,175.0,36.2522259809,USA
,,,
,,,USA
,,,USA
70.0,160.0,,ESP
69.0,154.0,27.5124999535,DNK
74.0,205.0,50.4659246111,USA
,,,
,,,USA
,,,
,,,USA
70.0,160.0,34.6905821453,ZAF
70.0,165.0,37.460445159,USA
67.0,158.0,30.9207191316,ESP
,,,USA
69.0,160.0,37.2440068029,AUS
72.0,150.0,26.1727739262,MEX
69.0,,32.6248287207,USA
74.0,,35.7645547481,ENG
,,,
,,,USA
,,,USA
,,,USA
69.0,181.0,41.0111300905,ZAF
76.0,195.0,34.0851026933,USA
76.0,212.0,45.3618150221,ENG
,,,USA
,,32.7179794056,ENG
71.0,175.0,40.7755136522,USA
70.0,175.0,47.7700342001,AUS
,,25.6193492686,TWN
,,,USA
,,24.6905821453,USA
75.0,220.0,47.1508561179,ZAF
,,,USA
,,41.75633557,USA
,,,KOR
68.0,160.0,37.7124999536,KOR
67.0,160.0,31.0494862549,JPN
,,,USA
72.0,175.0,,SWE
73.0,197.0,,CAN
66.0,175.0,,AUS
67.0,140.0,30.6083903645,GBR
,,,USA
,,,
72.0,200.0,,USA
69.0,180.0,46.5042807755,USA
74.0,180.0,28.1645547481,ITA
69.0,155.0,,USA
,,,USA
,,,USA
,,,USA
,,,
73.0,205.0,26.0741437892,CAN
73.0,160.0,26.4905821454,USA
,,,USA
72.0,165.0,43.153595844,AUS
,,40.3645547481,ESP
,,,USA
72.0,190.0,41.3289383098,USA
70.0,175.0,,USA
